timestamp [ns],worldFrame,world_gazeX,world_gazeY,ref_gazeX,ref_gazeY,number_point_matches,mapped
1703060749689792967,20,786.38,598.395,0.0,0.0,0,False
1703060749697189967,20,767.861,589.685,0.0,0.0,0,False
1703060749699227967,20,784.344,594.168,0.0,0.0,0,False
1703060749707178967,20,767.901,573.984,0.0,0.0,0,False
1703060749711743967,20,758.925,524.715,0.0,0.0,0,False
1703060749714828967,20,804.815,579.058,0.0,0.0,0,False
1703060749724761967,20,764.627,527.261,0.0,0.0,0,False
1703060749730430967,20,734.224,533.881,0.0,0.0,0,False
1703060749736762967,20,733.322,557.988,0.0,0.0,0,False
1703060749739790967,20,713.594,567.756,0.0,0.0,0,False
1703060749746162967,22,722.138,582.886,0.0,0.0,0,False
1703060749749228967,22,709.957,598.624,0.0,0.0,0,False
1703060749755432967,22,726.752,569.509,0.0,0.0,0,False
1703060749761804967,22,757.967,537.404,0.0,0.0,0,False
1703060749764806967,22,755.303,576.987,0.0,0.0,0,False
1703060749771115967,22,758.065,551.273,0.0,0.0,0,False
1703060749774304967,22,775.556,552.551,0.0,0.0,0,False
1703060749780478967,22,781.372,565.31,0.0,0.0,0,False
1703060749786731967,22,775.588,554.283,0.0,0.0,0,False
1703060749791013967,22,776.816,522.231,0.0,0.0,0,False
1703060749796131967,22,801.048,513.092,0.0,0.0,0,False
1703060749802495967,22,781.936,540.911,0.0,0.0,0,False
1703060749805736967,22,760.167,515.61,0.0,0.0,0,False
1703060749811806967,22,764.57,491.931,0.0,0.0,0,False
1703060749814825967,22,772.534,502.256,0.0,0.0,0,False
1703060749821098967,22,764.279,534.512,0.0,0.0,0,False
1703060749827341967,22,777.495,544.957,0.0,0.0,0,False
1703060749830819967,22,776.698,543.535,0.0,0.0,0,False
1703060749836736967,22,775.635,548.624,0.0,0.0,0,False
1703060749840641967,22,781.622,555.865,0.0,0.0,0,False
1703060749846208967,22,751.042,567.767,0.0,0.0,0,False
1703060749852617967,22,760.313,576.345,0.0,0.0,0,False
1703060749855490967,22,756.523,578.418,0.0,0.0,0,False
1703060749861752967,22,765.405,579.691,0.0,0.0,0,False
1703060749864798967,22,801.863,579.417,0.0,0.0,0,False
1703060749871094967,22,792.591,574.354,0.0,0.0,0,False
1703060749877351967,22,817.087,594.109,0.0,0.0,0,False
1703060749880835967,22,811.811,575.353,0.0,0.0,0,False
1703060749886721967,22,799.093,579.578,0.0,0.0,0,False
